id,id_gminy,siedziba
114,10,"Szko³a Podstawowa Nr 5 z Oddzia³ami Integracyjnymi, Osiedle B³êkitne 25, 58-200 Dzier¿oniów"
115,10,"Przedszkole Niepubliczne nr 3 ""Pod Topol¹"", Osiedle B³êkitne 26, 58-200 Dzier¿oniów"
116,10,"Szko³a Podstawowa Nr 5 z Oddzia³ami Integracyjnymi, Osiedle B³êkitne 25, 58-200 Dzier¿oniów"
117,10,"Szko³a Podstawowa nr 1, ul. Sikorskiego 2, 58-200 Dzier¿oniów"
118,10,"Filia Miejsko-Powiatowej Biblioteki Publicznej im. K. K. Baczyñskiego w Dzier¿oniowie, ul. Sikorskiego 2, 58-200 Dzier¿oniów"
119,10,"Przedszkole Niepubliczne nr 4, Osiedle Jasne 21, 58-200 Dzier¿oniów"
120,10,"Niepubliczny ¯³obek ""Sówka"" (dawny budynek po by³ej Szkole Podstawowej nr 6), Osiedle Jasne 22, 58-200 Dzier¿oniów"
121,10,"Niepubliczna Szko³a Podstawowa Sióstr Salezjanek, ul. Wroc³awska 51, 58-200 Dzier¿oniów"
122,10,"Dzienny Dom Senior +, ul. Krasickiego 25, 58-200 Dzier¿oniów"
123,10,"I Liceum Ogólnokszta³c¹ce im. Jêdrzeja Œniadeckiego, ul. Pi³sudskiego 10, 58-200 Dzier¿oniów"
124,10,"Zespó³ Szkó³ Nr 3 im. Kombatantów Rzeczypospolitej Polskiej, ul. S³owiañska 6, 58-200 Dzier¿oniów"
125,10,"dawny Biurowiec ""Silesiany"", ul. Batalionów Ch³opskich 19, 58-200 Dzier¿oniów"
126,10,"Przedszkole Publiczne nr 1, ul. Batalionów Ch³opskich 20, 58-200 Dzier¿oniów"
127,10,"Szko³a Podstawowa nr 9, ul. Miko³aja Kopernika 7, 58-200 Dzier¿oniów"
128,10,"Dzier¿oniowski Oœrodek Kultury, ul. Œwidnicka 23, 58-200 Dzier¿oniów"
129,10,"Przedszkole Niepubliczne ""S³oneczna Pi¹tka"", ul. Œwidnicka 41, 58-200 Dzier¿oniów"
130,10,"Oœrodek Pomocy Spo³ecznej, ul. Szkolna 24, 58-200 Dzier¿oniów"
131,10,"Szko³a Podstawowa nr 3, ul. Nowowiejska 64, 58-200 Dzier¿oniów"
132,10,"Areszt Œledczy, ul. Z¹bkowicka 53, 58-200 Dzier¿oniów"
133,10,"Niepubliczny Zak³ad Opieki Zdrowotnej Szpital Powiatowy Spó³ka z o. o., ul. Cicha 1, 58-200 Dzier¿oniów"
134,11,"Niepubliczna Szko³a Podstawowa-Stowarzyszenie Nauczyciele Dzieciom, ul. Œwidnicka 53, 58-250 Pieszyce"
135,11,"Zespó³ Szkó³ im Ks. Dzier¿onia, Budynek B (³¹cznik), ul. Mickiewicza 1, 58-250 Pieszyce"
136,11,"Szko³a Podstawowa Nr 1, ul. Ogrodowa 23, 58-250 Pieszyce"
137,11,"Oœrodek Pomocy Spo³ecznej, ul. Kopernika 124, 58-250 Pieszyce"
138,11,"Sala So³ecka, Kamionki 60, 58-250 Pieszyce"
139,11,"Œwietlica Remizy Stra¿ackiej OSP Piskorzów, Piskorzów 45a, 58-250 Pieszyce"
140,11,"Filia Miejskiej Biblioteki Publicznej-Centrum Kultury w Pieszycach, Roœciszów 51a, 58-250 Pieszyce"
141,11,"Specjalistyczny Szpital Chorób P³uc w Roœciszowie, Roœciszów 11, 58-250 Pieszyce"
142,11,"Dom Pomocy Spo³ecznej ""Zielone Wzgórza"" (budynek 2), Roœciszów 84, 58-250 Pieszyce"
143,12,"Szko³a Podstawowa, ul. Tedeusza Koœciuszki 1, 58-240 Pi³awa Górna"
144,12,"Szko³a Podstawowa, ul. Tadeusza Koœciuszki 1, 58-240 Pi³awa Górna"
145,12,"Œwietlica Ochotniczej Stra¿y Po¿arnej, ul. Boles³awa Limanowskiego 3, 58-240 Pi³awa Górna"
146,13,"Œwietlica Wiejska, Ruszowice ul. Têczowa 55, 67-210 G³ogów"
147,13,"Szko³a Podstawowa w Przedmoœciu, Przedmoœcie ul. Szkolna 3, 67-210 G³ogów"
148,13,"Zespó³ Szkolno-Przedszkolny w Serbach, Serby ul. Ogrodowa 18, 67-210 G³ogów"
149,13,"Szko³a Podstawowa w Wilkowie, Wilków ul. G³ogowska 5 a, 67-200 G³ogów"
150,14,"Szko³a Podstawowa, Jaczów ul. G³ówna 20, 67-210 G³ogów"
151,14,"Szko³a Podstawowa, ul. G³ogowska 19, 67-222 Jerzmanowa"
152,14,"Œwietlica Wiejska, Kurowice 42A, 67-210 G³ogów"
153,14,"Œwietlica Wiejska, B¹dzów 39A, 67-222 Jerzmanowa"
154,15,"Zespó³ Szkolno-Przedszkolny w Kotli Szko³a Podstawowa im. Kornela Makuszyñskiego, ul. Szkolna 2, 67-240 Kotla"
155,15,"Budynek komunalny, Chociemyœl 23, 67-240 Kotla"
156,15,"Budynek komunalny, Sobczyce 38, 67-240 Kotla"
157,15,"Sala wiejska, G³ogówko 21, 67-240 Kotla"
158,15,"Sala wiejska, Skidniów 9, 67-240 Kotla"
159,16,"Gminny Oœrodek Kultury, Bia³o³êka 12, 67-221 Bia³o³êka"
160,16,"Œwietlica Wiejska, Piersna 26, 67-221 Bia³o³êka"
161,17,"Szko³a Podstawowa, Nielubia 80, 67-231 ¯ukowice"
162,17,"Szko³a Podstawowa, Brzeg G³ogowski 27, 67-231 ¯ukowice"
163,18,"Pañstwowa Wy¿sza Szko³a Zawodowa, ul. Piotra Skargi 5, 67-200 G³ogów"
164,18,"Zespó³ Szkó³ Politechnicznych, Plac Jana z G³ogowa 7, 67-200 G³ogów"
165,18,"Zespó³ Szkó³ Ogólnokszta³c¹cych, ul. Jednoœci Robotniczej 10, 67-200 G³ogów"
166,18,"Szko³a Podstawowa nr 2, Aleja Wolnoœci 74, 67-200 G³ogów"
167,18,"Szko³a Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 G³ogów"
168,18,"Miejska Biblioteka Publiczna, ul. Jednoœci Robotniczej 15, 67-200 G³ogów"
169,18,"Przedszkole Publiczne nr 6, ul. Gustawa Morcinka 6, 67-200 G³ogów"
170,18,"Szko³a Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 G³ogów"
171,18,"Szko³a Podstawowa nr 6, ul. Koœciuszki 18, 67-200 G³ogów"
172,18,"Szko³a Podstawowa nr 12, ul. Miko³aja Gomó³ki 43, 67-200 G³ogów"
173,18,"Stowarzyszenie na Rzecz Integracji i Usamodzielniania ""Dom w G³ogowie"", ul. Okrê¿na 21, 67-200 G³ogów"
174,18,"Przedszkole Publiczne nr 9, ul. Perseusza 3, 67-200 G³ogów"
175,18,"Szko³a Podstawowa nr 12, ul. Miko³aja Gomó³ki 43, 67-200 G³ogów"
176,18,"Przedszkole Publiczne nr 19, ul. Plutona 3, 67-200 G³ogów"
177,18,"Szko³a Podstawowa nr 10, ul. Andromedy 62, 67-200 G³ogów"
178,18,"Szko³a Podstawowa nr 11, ul. GwiaŸdzista 2, 67-200 G³ogów"
179,18,"Szko³a Podstawowa nr 11, ul. GwiaŸdzista 2, 67-200 G³ogów"
180,18,"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 G³ogów"
181,18,"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 G³ogów"
182,18,"Szko³a Podstawowa nr 7, ul. Ignacego Daszyñskiego 11, 67-200 G³ogów"
183,18,"Przedszkole Publiczne nr 7, ul. Stanis³awa Moniuszki 4a, 67-200 G³ogów"
184,18,"Szko³a Podstawowa nr 7, ul. Ignacego Daszyñskiego 11, 67-200 G³ogów"
185,18,"Zespó³ Placówek Szkolno-Wychowawczych, ul. Sportowa 1, 67-200 G³ogów"
186,18,"Szko³a Podstawowa nr 9, ul. Mieczys³awa Niedzia³kowskiego 10, 67-200 G³ogów"
187,18,"Miejskie Centrum Wspierania Rodziny, ul. Folwarczna 7, 67-200 G³ogów"
188,18,"Szko³a Podstawowa nr 13, ul. Akacjowa 10, 67-200 G³ogów"
189,18,"Szko³a Podstawowa nr 14, ul. Królewska 12, 67-200 G³ogów"
190,18,"Przedszkole Publiczne nr 17, ul. Królewska 14, 67-200 G³ogów"
191,18,"Szko³a Podstawowa nr 3, Plac Mieszka I 22, 67-200 G³ogów"
192,18,"Szko³a Podstawowa nr 3, Plac Mieszka I 22, 67-200 G³ogów"
193,18,"Szko³a Podstawowa nr 3, Plac Mieszka I 22, 67-200 G³ogów"
194,18,"Przedszkole Publiczne nr 21, ul. Jagielloñska 37, 67-200 G³ogów"
195,18,"Przedszkole Publiczne nr 21, ul. Jagielloñska 37, 67-200 G³ogów"
196,18,"Zak³ad Karny w G³ogowie, ul. Lipowa 21, 67-200 G³ogów"
197,18,"Dom Pomocy Spo³ecznej ""Magnolia"" w G³ogowie, ul. Neptuna 22/24, 67-200 G³ogów"
198,18,"G³ogowski Szpital Powiatowy sp. z o. o., ul. Tadeusza Koœciuszki 15, 67-200 G³ogów"
199,19,"SPZOZ Oœrodek Rehabilitacji Dzieci Niepe³nosprawnych, os. Kazimierza Wielkiego 25, 56-200 Góra"
200,19,"Oœrodek Pomocy Spo³ecznej, ul. Poznañska 23, 56-200 Góra"
201,19,"Szko³a Podstawowa Nr 3, ul. Podwale 20, 56-200 Góra"
202,19,"Szko³a Podstawowa Nr 1, ul. Szkolna 2, 56-200 Góra"
203,19,"Przedszkole Publiczne Nr 1, ul. Stefana ¯eromskiego 15, 56-200 Góra"
204,19,"Zespó³ ¯³obek i Klub Dzieciêcy, ul. Piastów 34, 56-200 Góra"
205,19,"Szko³a Podstawowa Nr 1, ul. Marii Konopnickiej 2, 56-200 Góra"
206,19,"Filia biblioteczna, Czernina ul. Rynek 8, 56-200 Góra"
207,19,"Œwietlica Wiejska, K³oda Górowska 45, 56-200 Góra"
208,19,"Œwietlica Wiejska, Stara Góra 33A, 56-200 Góra"
209,19,"Zespó³ Szko³a Podstawowa i Przedszkole, Witoszyce 10, 56-200 Góra"
210,20,"Dom Kultury, Luboszyce 15, 56-209 Jemielno"
211,20,"Urz¹d Gminy Jemielno, Jemielno 81, 56-209 Jemielno"
212,20,"Œwietlica Wiejska, Psary 44, 56-209 Jemielno"
213,21,"Zespó³ Szkó³ w Sicinach, Siciny 78, 56-215 Niechlów"
214,21,"Gminny Oœrodek Kultury, ul. Dworcowa 9, 56-215 Niechlów"
215,21,"Œwietlica wiejska, Lipowiec 16, 56-215 Niechlów"
216,21,"Dom Pomocy Spo³ecznej, Wroniniec 59, 56-215 Niechlów"
217,22,"Szko³a Podstawowa, Czarnoborsko 10, 56-210 W¹sosz"
218,22,"Oœrodek Pomocy Spo³ecznej, ul. Krzywa 11, 56-210 W¹sosz"
219,22,"Zespó³ Placówek Kultury, ul. Zacisze 10D, 56-210 W¹sosz"
220,22,"Szko³a Podstawowa, Pobiel 75, 56-210 W¹sosz"
221,22,"Œwietlica wiejska, Kamieñ Górowski 8A, 56-210 W¹sosz"
222,23,"Gminno-Miejski Oœrodek Kultury, Sportu i Rekreacji, ul. Szpitalna 16, 59-420 Bolków"
223,23,"Internat Zespo³u Szkó³ i Placówek Oœwiatowych w Bolkowie, ul. Mickiewicza 1, 59-420 Bolków"
224,23,"Gminno-Miejski Zak³ad Bud¿etowy Gospodarki Komunalnej i Mieszkaniowej, ul. Kolejowa 5, 59-420 Bolków"
225,23,"Przedszkole Samorz¹dowe, ul. Sienkiewicza 39, 59-420 Bolków"
226,23,"Œwietlica Wiejska, Mys³ów 44, 59-420 Bolków"
227,23,"Œwietlica Wiejska, Kaczorów ul. Nowa Wieœ 1B, 59-420 Bolków"
228,23,"Œwietlica Wiejska, Lipa, 59-420 Bolków"
229,23,"Szko³a Podstawowa, Sady Górne 94, 59-420 Bolków"
230,23,"Œwietlica Wiejska, Wierzchos³awice 106, 59-420 Bolków"
231,23,"Œwietlica Wiejska, Stare Rochowice 53, 59-420 Bolków"
232,23,"Œwietlica Wiejska, Wolbromek 43B, 59-420 Bolków"
233,23,"Dom Pomocy Spo³ecznej w Jaworze Filia w Bolkowie, ul. Kamiennogórska 3, 59-420 Bolków"
234,23,"Zak³ad Opiekuñczo-Leczniczy w Bolkowie, ul. Wysokogórska 19, 59-420 Bolków"
235,24,"Zespó³ Szkolno-Przedszkolny w Mêcince, Mêcinka 10B, 59-424 Mêcinka"
236,24,"Œwietlica Wiejska, Ma³uszów 17, 59-424 Mêcinka"
237,24,"By³a Szko³a Filialna, Pomocne 51, 59-424 Mêcinka"
238,24,"Zespó³ Szkolno-Przedszkolny w Piotrowicach, Piotrowice 139, 59-424 Mêcinka"
239,25,"Zespó³ Szkolno-Przedszkolny w Targoszynie, Targoszyn 51, 59-407 Mœciwojów"
240,25,"Szko³a Podstawowa w Snowidzy, Snowidza 91A, 59-407 Mœciwojów"
241,25,"Œwietlica wiejska w Mœciwojowie, Mœciwojów 54B, 59-407 Mœciwojów"
242,26,"Œwietlica Wiejska w Paszowicach, Paszowice 136, 59-411 Paszowice"
243,26,"Œwietlica Wiejska w Wiadrowie, Wiadrów 39A, 59-411 Paszowice"
244,27,"Szko³a Podstawowa, Budziszów Wielki 10, 59-430 W¹dro¿e Wielkie"
245,27,"Szko³a Podstawowa, W¹dro¿e Wielkie 169, 59-430 W¹dro¿e Wielkie"
246,27,"Dom Pomocy Spo³ecznej w Jaworze-Dom w Mierczycach, Mierczyce 34, 59-430 W¹dro¿e Wielkie"
247,28,"Szko³a Podstawowa Nr 5, ul. Armii Krajowej 9, 59-400 Jawor"
248,28,"Europejskie Centrum M³odzie¿y Euroregionu NYSA, ul. Parkowa 5, 59-400 Jawor"
249,28,"Powiatowe Centrum Kszta³cenia Zawodowego i Ustawicznego, ul. Wroc³awska 30a, 59-400 Jawor"
250,28,"Szko³a Podstawowa Nr 2, Plac Bankowy 1, 59-400 Jawor"
251,28,"Dolnoœl¹ski Zespó³ Szkó³ w Jaworze, ul. kard. Stefana Wyszyñskiego 1, 59-400 Jawor"
252,28,"Miejska Biblioteka Publiczna, Plac Seniora 4, 59-400 Jawor"
253,28,"Filia Nr 1 Miejskiej Biblioteki Publicznej, ul. Stanis³awa Moniuszki 10, 59-400 Jawor"
254,28,"Szko³a Podstawowa Nr 1, ul. Stanis³awa Moniuszki 4, 59-400 Jawor"
255,28,"Specjalny Oœrodek Szkolno-Wychowawczy, ul. Ignacego Paderewskiego 6, 59-400 Jawor"
256,28,"budynek po by³ej Szkole Podstawowej Nr 1, ul. Boles³awa Limanowskiego 10, 59-400 Jawor"
257,28,"Oddzia³ zamiejscowy Przedszkola Publicznego nr 4, ul. Romana Dmowskiego 5, 59-400 Jawor"
258,28,"Szko³a Podstawowa nr 4, ul. Starojaworska 82, 59-400 Jawor"
259,28,"Dom Pomocy Spo³ecznej w Jaworze, pl. Seniora 3, 59-400 Jawor"
260,28,"Jaworskie Centrum Medyczne Sp. z o. o., ul. Szpitalna 3, 59-400 Jawor"
261,29,"Budynek przy ulicy Goduszyñskiej, ul. Goduszyñska 11, 58-500 Jelenia Góra"
262,29,"Biuro Wystaw Artystycznych, ul. D³uga 1, 58-500 Jelenia Góra"
263,29,"Powiatowa Stacja Sanitarno-Epidemiologiczna, ul. Kasprowicza 17, 58-500 Jelenia Góra"
264,29,"Zespó³ Szkó³ Technicznych ""Mechanik"", ul. Obroñców Pokoju 10, 58-500 Jelenia Góra"
265,29,"Szko³a Podstawowa Nr 13, ul. Piotra Skargi 19, 58-500 Jelenia Góra"
266,29,"Zespó³ Szkó³ Elektronicznych, ul. Grunwaldzka 64a, 58-500 Jelenia Góra"
267,29,"Stadion Miejski, ul. Z³otnicza 12, 58-500 Jelenia Góra"
