id_lokalu,id_kandydata,ile
12624,3324,2
12624,3325,1
12624,3326,0
12624,3327,0
12624,3328,0
12624,3329,0
12624,3330,3
12624,3331,0
12624,3332,0
12624,3333,0
12624,3334,0
12624,3335,4
12624,422,332
12624,423,26
12624,424,20
12624,425,36
12624,426,13
12624,427,8
12624,428,10
12624,429,0
12624,430,2
12624,431,3
12624,432,3
12624,433,0
12624,434,5
12624,435,4
12624,436,1
12624,437,0
12624,438,1
12624,439,2
12624,440,0
12624,441,8
12624,442,1
12624,443,0
12624,444,3
12624,445,1
12624,446,1
12624,447,2
12624,448,0
12624,449,0
12624,450,0
12624,451,0
12624,452,2
12624,453,1
12624,454,0
12624,455,0
12624,456,0
12624,457,0
12624,458,0
12624,459,1
12624,460,1
12624,461,11
12624,4206,71
12624,4207,15
12624,4208,6
12624,4209,1
12624,4210,2
12624,4211,5
12624,4212,2
12624,4213,2
12624,4214,0
12624,4215,3
12624,4216,0
12624,4217,1
12624,4218,1
12624,4219,2
12624,4220,1
12624,4221,0
12624,4222,5
12624,4223,0
12624,4224,1
12624,4225,0
12624,4226,0
12624,4227,1
12624,4228,0
12624,4229,0
12624,4230,0
12624,4231,0
12624,4232,0
12624,4233,1
12624,4234,0
12624,4235,1
12624,4236,0
12624,4237,1
12624,4238,0
12624,4239,1
12624,4240,0
12624,4241,0
12624,4242,2
12624,4243,0
12624,4244,1
12624,4245,6
12624,1335,742
12624,1336,45
12624,1337,59
12624,1338,6
12624,1339,5
12624,1340,18
12624,1341,29
12624,1342,5
12624,1343,10
12624,1344,6
12624,1345,3
12624,1346,8
12624,1347,5
12624,1348,3
12624,1349,7
12624,1350,1
12624,1351,2
12624,1352,0
12624,1353,2
12624,1354,1
12624,1355,0
12624,1356,0
12624,1357,0
12624,1358,2
12624,1359,0
12624,1360,1
12624,1361,0
12624,1362,2
12624,1363,0
12624,1364,1
12624,1365,0
12624,1366,0
12624,1367,0
12624,1368,1
12624,1369,2
12624,1370,0
12624,1371,1
12624,1372,0
12624,1373,1
12624,1374,9
12624,2380,62
12624,2381,10
12624,2382,23
12624,2383,8
12624,2384,0
12624,2385,1
12624,2386,0
12624,2387,1
12624,2388,0
12624,2389,2
12624,2390,0
12624,2391,0
12624,2392,1
